1	3	4	21	28			
2	5	6	21	36	37	42	
3	3	5	6	29			
4	3	26	27	41			
5	3	6	17	42			
6	1	42					
7	2	17	31				
8	6	11	12	16	20	42	50
9	5	16	37	42	44	48	
10	3	11	17	20			
11	2	12	20				
12	1	24					
13	4	46	47	49	51		
14	4	22	33	49	51		
15	4	18	32	33	39		
16	3	42	48	50			
17	2	20	29				
18	3	23	35	39			
19	2	38	39				
20	1	42					
21	2	28	45				
22	3	32	40	43			
23	2	38	50				
24	2	30	50				
25	3	26	41	46			
26	3	27	41	46			
27	2	34	47				
28	2	34	45				
29	1	31					
30	1	38					
32	5	33	35	43	44	48	
33	1	51					
34	3	40	47	49			
35	1	48					
36	3	37	43	45			
37	1	44					
40	2	45	49				
43	1	44					
44	1	48					
46	1	47					
47	1	49					
